Test_age_T1,Body_height_cm_T1,Sitting_height_cm_T1,Arm_span_cm_T1,Arm_length_cm_T1,Leg_length_cm_T1,Chest_girth_cm_T1,Shoulder_width_cm_T1,Crista_width_cm_T1,Calf_girth_cm_T1,Thigh_circumference_cm_T1,Waist_girth_cm_T1,LowerLeg_length_cm_T1,Ankle_circumference_cm_T1,Subscapular_angle_mm_T1,Abdomen_mm_T1,Upper_arm_mm_T1,Tendon_length_cm_T1,Body_weight_kg_T1,Eye_hand_reaction_time,Heart_rate_rest_bpm_T1,Vital_capacity_ml_T1,Sport
172,181.8,91.8,184,78.4,97.3,79.2,36.2,27.7,33,47.3,68,51.2,20.8,5,9.5,10,28.8,57.1,202,69,4315,basketball
172,170.7,91.3,169.8,70.2,88.2,81.1,37.1,28.3,35.5,49.5,67.2,44,21.7,7.5,9,8.5,23,56.3,234,62,3555,basketball
178,183,94.1,181.4,76.8,95.8,80,39.4,28.2,34.8,50,69.8,49.6,21.6,6,7,8.5,24.2,58.9,233,76,4450,basketball
178,184.2,93,188.8,82.4,99.6,78.3,36.4,27.9,33.1,47.3,66.1,51.6,24.2,6,7.5,9,26.1,57,201,75,4045,basketball
184,184.7,96.6,183.5,78.7,97,91.8,37.7,26.8,34.6,50.8,68,49,21,5.5,8,10,24.9,63.1,190,60,4145,basketball
184,186.5,94,191.1,81,99.5,79.5,36.8,29.7,34.1,49.7,68.7,52.1,21,6,6,7.5,28,62.4,275,68,4320,basketball
190,187,97.9,182,79.3,97.3,81.5,40.1,29,34.7,49.8,65.4,50,21.4,9,7,9,25.5,60.7,181,64,4015,basketball
170,194,100.9,196.8,85,102.5,86.2,40.3,32.7,38.6,54.7,78.6,55.1,21.1,7.5,8,9,25.3,78.1,249,70,5310,fencing
170,168.1,87.3,163.4,69.5,90.4,75.3,35.7,25.4,32.7,45.9,63.5,45.8,21.5,7.5,9.5,10.5,22.5,50.9,213,70,3255,fencing
172,183,95.2,185.9,78.2,94.8,77.2,38.5,27.5,35.8,51.3,66.5,48.2,21.5,6,7,7,24.9,61.2,204,62,4305,fencing
172,172.4,87.4,169.6,74.2,93,75.5,36.7,27.2,35.9,51.6,67.5,48.2,23.6,7,10,9.5,20,56.2,183,73,3320,fencing
173,174,93.1,177.7,76.4,88.8,77.8,37.6,27.4,37.6,53.2,66.2,45.5,19.3,7,8.5,7,23.1,54.3,225,64,3665,fencing
175,174.5,92,174.1,73.4,90.5,82.8,37.5,27,35.3,52.3,69.3,45.8,23,6.5,7.5,8.5,22.3,61.2,205,63,4700,fencing
175,170.5,91.1,175.9,75.8,87.6,70,38.2,26.7,37.6,52.1,70,45.8,23.6,6.5,9,12.5,24.6,61,208,67,4170,fencing
178,183,95.6,185.8,81.2,96.9,79.4,38.5,28,36.2,52.2,68,48.5,21.6,5.5,6,6.5,24.2,63.2,221,61,4355,fencing
178,175.5,90.9,174,72.6,93.3,80,37.7,27.7,37.1,52.3,70.2,48.6,24.1,8,7,9,21.9,60.9,274,67,3475,fencing
179,175.9,94.5,180.4,77,89.7,77.6,38.3,28.5,32.9,46.6,67.4,45.5,20.1,8,8,6,24,54.5,225,64,3625,fencing
181,182.5,98,183,78.6,91.5,84,40.7,28.7,37.8,56.3,69.5,46.9,22.3,7.5,6,7,23.9,69.2,199,60,5100,fencing
181,175,93.1,173.5,73.6,92.6,85.8,35.3,27.8,36,53.5,71.6,46.8,22.8,6,8.5,10,24.8,64.6,206,67,4695,fencing
181,171.1,93.5,177.5,76.5,88.7,81.3,37.8,26.3,36.9,51.2,68.2,44.5,23.5,8,10,10,25,58.6,193,64,4050,fencing
182,189.6,100.1,188,80.1,97.3,85,40.3,29.9,40,59.1,73,51,22.8,9,14,17.5,22,77.2,230,54,4675,fencing
184,184.3,95.6,185.9,81.3,95.6,79.4,38.7,28,35.9,51.5,66.9,49,21.5,7,7,7,23.5,63.7,220,62,4265,fencing
185,177.9,96.1,181,76,91.6,76,39,27.8,32.8,47.5,70.1,46.1,21.6,9,7,6.5,22.6,57.6,258,55,4210,fencing
187,182.2,98.2,184,77.1,93.5,86.8,38.9,28.9,39,55.8,72,47,22.8,7,5.5,7,25.3,73.5,204,55,5150,fencing
187,176,93.1,173.4,75.3,92.5,86.2,37,27.3,35.6,53.6,71.4,45.7,23.1,9.5,8.5,9,24,65.1,194,67,4510,fencing
187,173.6,93.8,178.1,77.1,88.6,82.5,38,27.3,37.9,52.4,71.9,45.4,23.5,7.5,8.5,10,26,63.6,246,70,4410,fencing
188,189.7,100,178.9,80.1,99.8,83.3,40.7,31.5,39.5,58,73.3,51.7,23.7,10,15,16,24.3,76.5,182,54,4810,fencing
190,184.6,97,184.1,78.4,94.8,81.9,38.6,27.3,36.1,52,68.5,49.7,23.1,7,6,8.5,21.6,66.3,240,63,4125,fencing
168,185.9,95.8,187.5,79.1,97.4,91.3,42,28.5,39.4,62.5,83,50.3,23.3,12.5,24.5,20,21,84.4,273,62,3010,judo
170,172,90,173,74.1,88.2,89.5,39,26.5,37.6,55.8,74,45.7,21.8,10,16,15,21.5,67.8,251,50,4515,judo
171,179,91.5,181.1,77.2,95.1,84.2,40.3,26,34,48,68.3,48.8,21.7,8,8,10,27.3,62.1,241,72,3685,judo
172,176.1,94.6,183.5,77.5,88.9,87,41,28,35,55,73,45,22.4,9.5,9,7.5,21.7,67.3,274,59,4435,judo
174,186.1,96.6,188,78.9,96.5,97,40.4,29,40.4,64.7,85,50.7,23.6,13.5,26,19,22.5,91,239,51,5170,judo
176,172.6,92.1,173.5,75,90.5,93,39.5,27.5,37.6,57.3,77.2,46.2,21,9,16,12,21.2,69.7,194,61,4595,judo
177,180.5,93.8,182.8,79.7,94.6,88,40.5,27.5,35.1,51.6,72,50,22,8.5,9,12,27.5,66,182,65,4200,judo
178,175.4,96,183.5,78.6,88.8,92.6,40.8,29.7,35.1,53.5,75.2,45.7,21.8,9.5,10,10.5,21.9,70.1,236,62,4395,judo
179,161.5,84.1,164.5,71.8,84.6,82,37.5,26.7,37,51,70,42.3,21.3,7,6,6,23.9,55,205,59,2797,judo
180,185.8,97,189.2,81,97.4,101,41,28.5,40.1,63.1,89.3,50.3,28,21,25,19,21.4,90.4,280,64,5630,judo
181,184,93.9,189.4,80.8,99,100.5,41.6,29.7,39.1,63,89.7,50.5,25,12.5,31,14.5,22.9,88.2,222,62,5144,judo
183,181.4,92.5,184.4,79.8,96.2,89.6,41.2,26,34.8,52,74.3,49.5,22.6,12,7.5,11,25.6,66.8,242,76,4245,judo
184,176.4,96.3,184.3,78.8,89.6,90.6,41.2,28,31,54,73.6,46.7,21.6,9.5,8,9.5,21,69.9,248,56,4265,judo
185,162.6,87.4,167,72.5,84,85,37.8,27,36.7,52.5,72,44.3,22,6.5,6.5,8.5,21.4,58.6,221,53,3060,judo
186,187,96.9,189.5,78.8,96.6,102.6,41.8,31.1,40.2,63.9,93,50.3,23.8,18,24.5,19,22.4,84.3,254,60,5510,judo
187,184,95.3,189.4,82.2,98.5,105,40.5,31.1,38.5,63.7,90.8,50.5,24.4,13,35,15,25,91.1,207,50,5202,judo
188,172.3,92.8,175.2,72.5,91.4,97.2,39.4,27,37.8,57.1,76.9,46.8,21.8,13,9.5,8,20.1,71.6,210,57,4695,judo
189,182.1,96,184.7,80.1,96.4,90.5,41.2,25.7,35.2,52.5,72.4,49.4,22,11,7.5,8.5,27.9,68.7,238,72,4230,judo
190,176.5,96.8,184.4,78.8,88.8,92.2,40.9,29,35.2,55.3,75.4,45.6,22.1,10,6,5.5,22,73.5,232,62,4735,judo
168,192.6,96.7,198.1,86.2,111.2,96.3,42.3,30.1,39.5,58.9,88.6,52,23.1,16,21,15,27.3,87.8,218,55,5810,swim
168,183,99.3,193.3,83.8,92.8,89.4,40.8,28,35,52.5,72.9,47.7,21.8,8,6,10.5,24,67.3,207,55,5595,swim
168,187.2,96.7,189.5,83.2,97.5,98,44,28.1,38.3,55.6,79.4,50.8,22.7,7,6.5,5.5,23.6,78.1,229,65,6955,swim
168,168.4,86.8,178.6,77.1,96.2,87,38.3,25.6,34.7,50.8,70.2,46.7,21.1,7,6,7,26.3,58.1,237,67,4125,swim
169,173,90.7,175.8,76.2,88.8,86,39.1,25.8,35.3,47.6,69.3,46,21.6,7,10,9,24.7,58.2,247,65,4100,swim
172,177.3,93.9,184.3,77.1,94.6,88,40.2,25.5,36.3,50.9,70.3,46.7,22.8,7.5,5.5,6,25.3,63.5,256,68,4940,swim
172,174,92.7,177.9,75.9,92.4,85.1,39,25.5,33.6,49.9,71.4,45.4,20.7,7.5,9,8,26.2,59.7,172,64,4895,swim
175,176,93.7,180,75,91.5,89.2,38.6,27.6,36.2,49.7,71,47,21.2,7,10.5,9,27.2,62.7,195,72,4560,swim
181,178.1,95.2,182,77.6,90.1,90.7,39.2,27.1,36.3,49.6,73.1,47,23.7,11,10.5,8.5,24.3,64,186,70,4635,swim
187,180.3,97.5,183.8,79.4,94.2,92.9,39.9,27,36.7,51.2,76,47.5,20.7,11,8.5,7,25.6,68.4,184,70,5090,swim
168,167.1,89,172.2,73.5,86.3,85.8,38.1,26.1,35.4,50.4,71,43.7,21,5,4.5,6,16.3,61,242,66,4195,table tennis
168,166.6,86,171,73,89.7,76.4,35.2,26.7,31.9,46.4,68.8,45,21,6,5,5.5,26,49.3,226,70,3645,table tennis
171,164.5,85.5,167.3,73,87.8,75.1,34.6,26,32.6,45.6,68.3,44.9,20.3,7.5,7.5,8,23.3,49.7,239,72,3505,table tennis
172,174,92.6,169.5,72.1,87.7,87.4,39.5,26.6,34.4,54.5,71.5,44,21.6,7.5,6.5,5.5,24.2,65.3,204,66,4025,table tennis
174,168.2,90.3,172.5,75.2,86.8,85.2,38.8,26,36.3,51.5,72.3,43.6,22.9,6.5,6,5,19.6,60,228,65,4270,table tennis
174,171,88,175.2,76.1,93.8,78.1,33.7,27.2,32.6,48,70.4,46,20.5,6.5,6,7.5,24.5,54.2,221,75,3995,table tennis
176,174,94.9,177.8,75.9,85.9,87,41.7,25.8,38,57,73,43.3,21.4,8,15,11,24.6,68.3,216,66,4235,table tennis
180,171.3,89.4,172.5,74.7,88,84.2,38.9,27.4,34.8,54,74.5,43.9,20.4,6,18,14,22.6,61.4,244,76,3192,table tennis
180,170,88.1,173,74.7,85,85.9,38.8,26.1,36,50.1,73.6,44.1,23.3,6.5,5,6,16.2,60,265,60,4515,table tennis
182,175,96.3,178.4,74.5,88,91.8,41.7,26,39.2,59.9,76.8,44,20.8,8,16.5,12.5,23.6,75.1,249,66,4320,table tennis
186,165,88.3,172.5,73.6,83.6,84,39.1,27,36,49,69,43,21.9,7,4.5,6,20.9,54.5,178,66,3286,table tennis
186,171.5,91,172.8,75.1,89.8,86.8,38.2,27,35.2,55.4,78.2,43.9,20,5,17.5,14,22.7,65,211,66,3625,table tennis
